Orthogroup	Chlorella_Vulgaris2111P	Chlorella_KRBP
OG0000355	KAI3427321.1 hypothetical protein D9Q98_010238 [Chlorella vulgaris], KAI3427340.1 hypothetical protein D9Q98_010257 [Chlorella vulgaris], KAI3427337.1 hypothetical protein D9Q98_010254 [Chlorella vulgaris]	QAXK01000575.1_38061-33279
OG0000356	KAI3428318.1 hypothetical protein D9Q98_006698 [Chlorella vulgaris], KAI3436614.1 hypothetical protein D9Q98_006031 [Chlorella vulgaris]	QAXK01001458.1_25468-28021
OG0000362	KAI3435734.1 hypothetical protein D9Q98_001792 [Chlorella vulgaris], KAI3438061.1 hypothetical protein D9Q98_000504 [Chlorella vulgaris]	QAXK01002504.1_1584-235
OG0000372	KAI3435517.1 hypothetical protein D9Q98_001583 [Chlorella vulgaris], KAI3435516.1 hypothetical protein D9Q98_001582 [Chlorella vulgaris]	QAXK01000007.1_3483-1851
OG0000374	KAI3438459.1 hypothetical protein D9Q98_000888 [Chlorella vulgaris], KAI3438458.1 hypothetical protein D9Q98_000887 [Chlorella vulgaris]	QAXK01001576.1_25385-29462
OG0000375	KAI3423896.1 hypothetical protein D9Q98_009730 [Chlorella vulgaris], KAI3423892.1 hypothetical protein D9Q98_009726 [Chlorella vulgaris]	QAXK01008707.1_239-2925
OG0000383	KAI3433585.1 hypothetical protein D9Q98_003396 [Chlorella vulgaris], KAI3429755.1 hypothetical protein D9Q98_010068 [Chlorella vulgaris]	QAXK01011194.1_5918-9002
OG0000390	KAI3430407.1 hypothetical protein D9Q98_005002 [Chlorella vulgaris]	QAXK01005078.1_1174-132
OG0000390	KAI3430406.1 hypothetical protein D9Q98_005001 [Chlorella vulgaris]	QAXK01003294.1_6337-3495
OG0000394	KAI3429583.1 hypothetical protein D9Q98_005669 [Chlorella vulgaris], KAI3429731.1 hypothetical protein D9Q98_010046 [Chlorella vulgaris]	QAXK01008702.1_3083-212
OG0000408	KAI3424703.1 hypothetical protein D9Q98_008093 [Chlorella vulgaris], KAI3424702.1 hypothetical protein D9Q98_008092 [Chlorella vulgaris]	QAXK01003094.1_1529-6518
OG0000412	KAI3439044.1 hypothetical protein D9Q98_001454 [Chlorella vulgaris], KAI3430388.1 hypothetical protein D9Q98_004983 [Chlorella vulgaris]	QAXK01007672.1_3589-1228
OG0000417	KAI3434435.1 hypothetical protein D9Q98_002512 [Chlorella vulgaris], KAI3434437.1 hypothetical protein D9Q98_002514 [Chlorella vulgaris], KAI3429904.1 hypothetical protein D9Q98_010215 [Chlorella vulgaris]	QAXK01003046.1_10052-9637
OG0000418	KAI3438821.1 hypothetical protein D9Q98_001238 [Chlorella vulgaris], KAI3428267.1 hypothetical protein D9Q98_006646 [Chlorella vulgaris]	QAXK01005097.1_6985-2749
OG0000431	KAI3425770.1 hypothetical protein D9Q98_007745 [Chlorella vulgaris], KAI3438384.1 hypothetical protein D9Q98_000816 [Chlorella vulgaris], KAI3438383.1 hypothetical protein D9Q98_000815 [Chlorella vulgaris]	QAXK01001330.1_10692-5073
OG0000443	KAI3430606.1 hypothetical protein D9Q98_005199 [Chlorella vulgaris], KAI3430612.1 hypothetical protein D9Q98_005204 [Chlorella vulgaris]	QAXK01002390.1_2379-454
OG0000446	KAI3436065.1 hypothetical protein D9Q98_002123 [Chlorella vulgaris], KAI3438903.1 hypothetical protein D9Q98_001318 [Chlorella vulgaris]	QAXK01006391.1_1754-3793
OG0000449	KAI3423794.1 hypothetical protein D9Q98_009632 [Chlorella vulgaris], KAI3433290.1 hypothetical protein D9Q98_003109 [Chlorella vulgaris]	QAXK01017753.1_1728-436
OG0000452	KAI3436763.1 hypothetical protein D9Q98_006175 [Chlorella vulgaris], KAI3436762.1 hypothetical protein D9Q98_006174 [Chlorella vulgaris], KAI3426483.1 hypothetical protein D9Q98_008849 [Chlorella vulgaris]	QAXK01003135.1_2479-16
OG0000455	KAI3434451.1 hypothetical protein D9Q98_002528 [Chlorella vulgaris], KAI3434446.1 hypothetical protein D9Q98_002523 [Chlorella vulgaris]	QAXK01015054.1_2845-4309
OG0000468	KAI3435810.1 hypothetical protein D9Q98_001868 [Chlorella vulgaris], KAI3433359.1 hypothetical protein D9Q98_003177 [Chlorella vulgaris]	QAXK01006097.1_2371-905
OG0000470	KAI3426508.1 hypothetical protein D9Q98_008873 [Chlorella vulgaris], KAI3434498.1 hypothetical protein D9Q98_002573 [Chlorella vulgaris]	QAXK01000050.1_24428-29981
OG0000471	KAI3434778.1 hypothetical protein D9Q98_002838 [Chlorella vulgaris], KAI3434777.1 hypothetical protein D9Q98_002837 [Chlorella vulgaris]	QAXK01001670.1_7180-6388
OG0000474	KAI3424846.1 hypothetical protein D9Q98_008232 [Chlorella vulgaris], KAI3424847.1 hypothetical protein D9Q98_008232 [Chlorella vulgaris]	QAXK01000042.1_28045-28765
OG0000479	KAI3424894.1 hypothetical protein D9Q98_008278 [Chlorella vulgaris], KAI3424893.1 hypothetical protein D9Q98_008277 [Chlorella vulgaris]	QAXK01004028.1_58546-56431
OG0000499	KAI3428774.1 hypothetical protein D9Q98_007595 [Chlorella vulgaris]	QAXK01009964.1_53-2582
OG0000501	KAI3434677.1 hypothetical protein D9Q98_002741 [Chlorella vulgaris]	QAXK01015180.1_1811-4048
OG0000501	KAI3434680.1 hypothetical protein D9Q98_002744 [Chlorella vulgaris]	QAXK01019765.1_356-165
OG0000506	KAI3438557.1 hypothetical protein D9Q98_000985 [Chlorella vulgaris]	QAXK01002250.1_1739-4040
OG0000512	KAI3430867.1 hypothetical protein D9Q98_009276 [Chlorella vulgaris], KAI3430868.1 hypothetical protein D9Q98_009277 [Chlorella vulgaris]	QAXK01000565.1_7520-10250
OG0000517	KAI3438018.1 hypothetical protein D9Q98_000461 [Chlorella vulgaris], KAI3438019.1 hypothetical protein D9Q98_000462 [Chlorella vulgaris]	QAXK01001595.1_3107-7081
OG0000519	KAI3437986.1 hypothetical protein D9Q98_000429 [Chlorella vulgaris], KAI3437841.1 hypothetical protein D9Q98_000287 [Chlorella vulgaris]	QAXK01004538.1_836-4145
OG0000520	KAI3429478.1 hypothetical protein D9Q98_005569 [Chlorella vulgaris], KAI3429479.1 hypothetical protein D9Q98_005570 [Chlorella vulgaris]	QAXK01002274.1_7306-5678
OG0000521	KAI3432894.1 hypothetical protein D9Q98_010476 [Chlorella vulgaris], KAI3432893.1 hypothetical protein D9Q98_010475 [Chlorella vulgaris]	QAXK01000876.1_25410-28882
OG0000522	KAI3432852.1 hypothetical protein D9Q98_010435 [Chlorella vulgaris], KAI3432814.1 hypothetical protein D9Q98_010397 [Chlorella vulgaris]	QAXK01010222.1_2855-4006
OG0000528	KAI3429542.1 hypothetical protein D9Q98_005630 [Chlorella vulgaris]	QAXK01011871.1_1755-3976
OG0000535	KAI3435944.1 hypothetical protein D9Q98_002002 [Chlorella vulgaris], KAI3436209.1 hypothetical protein D9Q98_002263 [Chlorella vulgaris]	QAXK01008326.1_3715-2230
OG0000542	KAI3437729.1 hypothetical protein D9Q98_000177 [Chlorella vulgaris]	QAXK01007731.1_21245-25168
OG0000546	KAI3438264.1 hypothetical protein D9Q98_000700 [Chlorella vulgaris], KAI3430380.1 hypothetical protein D9Q98_004975 [Chlorella vulgaris], KAI3430379.1 hypothetical protein D9Q98_004974 [Chlorella vulgaris]	QAXK01003383.1_11610-10089
OG0000552	KAI3426409.1 hypothetical protein D9Q98_008779 [Chlorella vulgaris], KAI3426410.1 hypothetical protein D9Q98_008779 [Chlorella vulgaris]	QAXK01001452.1_4877-8338
